Correct,Correct,Incorrect_Corrupt,Less_than_2_Mb,Disabled,Yes,No_Paper,Yes__Network_printer_,Yes,Corrupt_Buggy,No,No,Incorrect,Corrupt,No,Yes,No,Incorrect,Correct,Offline,Yes,Connected,No,Not_Operational,Yes,Windows,Incorrect,No,No,Yes,Less_than_2Mb,Too_Short,Intact__not_Corrupt_,Adequate,No,No_Output,Fast_Enough,Fast_Enough,Too_Slow,Incorrect,Incorrect,Yes,Yes,Incorrect,No____TIF___WMF___BMP_,No,No,No,Yes,Yes,Faulty,Yes,No,Yes,Yes,No,Yes,No,Too_Long,No__Different_Each_Time_,Inadequate____1_Mb_,No_Error,x_1_Mb_Available_VM,Yes,Yes,Yes,Grayed_Out,Yes,No,Short,OK,OK,Jam__Out__Bin_Full,Low__None,No_Error,OFFLINE__OFF
Incorrect_Corrupt,Correct,Incorrect_Corrupt,Less_than_2_Mb,Enabled,Yes,No_Paper,Yes__Network_printer_,No,OK,Yes,No,Incorrect,Reinstalled,No,Yes,Yes,Correct,Correct,Offline,Yes,Loose,Yes,Operational,Yes,Windows,Correct,No,No,No,Less_than_2Mb,Long_Enough,Full_or_Corrupt,Low,No,No_Output,Too_Long,Too_Long,OK,Incorrect,Incorrect,No,No,Incorrect,No____TIF___WMF___BMP_,Yes,Yes,Yes,Yes,Yes,Faulty,No,Yes,Yes,No,Yes,Yes,Yes,Fast_Enough,No__Different_Each_Time_,Adequate____1Mb_,Low_Memory,x_1_Mb_Available_VM,Yes,Yes,Yes,Normal,No,Yes,Long,OK,Too_Long,Jam__Out__Bin_Full,Low__None,Out_of_Memory,OFFLINE__OFF
Correct,Incorrect_Corrupt,Correct,Less_than_2_Mb,Enabled,No,No_Paper,No__Local_printer_,No,Corrupt_Buggy,No,No,Correct,Corrupt,No,Yes,No,Incorrect,Incorrect,Online,Yes,Connected,No,Not_Operational,Yes,Windows,Incorrect,Yes,No,Yes,Greater_than_2_Mb,Too_Short,Full_or_Corrupt,Adequate,No,Normal_Output,Fast_Enough,Fast_Enough,OK,Correct,Incorrect,No,No,Correct,Yes____EPS_,No,Yes,Yes,Yes,Yes,Faulty,No,No,Yes,Yes,No,No,No,Fast_Enough,Yes__Always_the_Same_,Adequate____1Mb_,No_Error,x_1_Mb_Available_VM,No,Yes,Yes,Normal,No,Yes,Long,OK,OK,Jam__Out__Bin_Full,No_Error,Out_of_Memory,No_Error
Correct,Incorrect_Corrupt,Incorrect_Corrupt,Less_than_2_Mb,Enabled,Yes,Has_Paper,Yes__Network_printer_,Yes,OK,Yes,Yes,Correct,Reinstalled,No,No,No,Correct,Correct,Online,Yes,Loose,No,Not_Operational,No,DOS,Correct,Yes,No,No,Greater_than_2_Mb,Too_Short,Full_or_Corrupt,Adequate,Yes,No_Output,Fast_Enough,Too_Long,OK,Incorrect,Correct,No,No,Incorrect,No____TIF___WMF___BMP_,Yes,Yes,No,No,No,Faulty,No,No,Yes,Yes,Yes,No,Yes,Fast_Enough,Yes__Always_the_Same_,Inadequate____1_Mb_,Low_Memory,x_1_Mb_Available_VM2,No,No,Yes,Normal,No,Yes,Short,Slow,OK,No_Error,No_Error,Out_of_Memory,No_Error
Incorrect_Corrupt,Incorrect_Corrupt,Correct,Greater_than_2_Mb,Disabled,No,No_Paper,No__Local_printer_,Yes,OK,Yes,No,Correct,Corrupt,No,No,Yes,Incorrect,Correct,Offline,No,Connected,No,Not_Operational,No,DOS,Incorrect,Yes,No,Yes,Greater_than_2_Mb,Long_Enough,Intact__not_Corrupt_,Adequate,Yes,Normal_Output,Fast_Enough,Fast_Enough,OK,Incorrect,Correct,No,Yes,Incorrect,No____TIF___WMF___BMP_,Yes,Yes,Yes,Yes,No,Verified,No,Yes,Yes,Yes,Yes,No,No,Fast_Enough,Yes__Always_the_Same_,Inadequate____1_Mb_,No_Error,x_1_Mb_Available_VM2,Yes,No,No,Grayed_Out,Yes,Yes,Short,OK,OK,Jam__Out__Bin_Full,Low__None,Out_of_Memory,No_Error
Correct,Correct,Correct,Greater_than_2_Mb,Enabled,No,No_Paper,No__Local_printer_,No,OK,No,Yes,Incorrect,Corrupt,No,Yes,Yes,Correct,Correct,Offline,Yes,Connected,No,Operational,Yes,DOS,Correct,Yes,Yes,Yes,Greater_than_2_Mb,Long_Enough,Full_or_Corrupt,Low,Yes,No_Output,Fast_Enough,Fast_Enough,OK,Correct,Incorrect,No,Yes,Correct,No____TIF___WMF___BMP_,Yes,Yes,No,No,No,Faulty,Yes,No,No,No,No,No,Yes,Fast_Enough,Yes__Always_the_Same_,Adequate____1Mb_,Low_Memory,x_1_Mb_Available_VM,Yes,Yes,No,Normal,Yes,Yes,Short,Slow,OK,No_Error,No_Error,Out_of_Memory,OFFLINE__OFF
Correct,Correct,Correct,Greater_than_2_Mb,Disabled,Yes,No_Paper,No__Local_printer_,No,OK,Yes,No,Incorrect,Corrupt,No,Yes,Yes,Correct,Incorrect,Online,No,Connected,Yes,Not_Operational,No,Windows,Correct,No,No,No,Greater_than_2_Mb,Long_Enough,Full_or_Corrupt,Low,No,No_Output,Too_Long,Fast_Enough,OK,Incorrect,Incorrect,No,Yes,Incorrect,No____TIF___WMF___BMP_,No,No,Yes,Yes,Yes,Faulty,No,No,No,No,Yes,No,No,Too_Long,No__Different_Each_Time_,Adequate____1Mb_,No_Error,x_1_Mb_Available_VM2,No,Yes,Yes,Grayed_Out,Yes,Yes,Short,Slow,Too_Long,Jam__Out__Bin_Full,Low__None,No_Error,OFFLINE__OFF
Incorrect_Corrupt,Incorrect_Corrupt,Correct,Greater_than_2_Mb,Enabled,Yes,No_Paper,Yes__Network_printer_,Yes,OK,No,No,Incorrect,Corrupt,No,No,No,Correct,Correct,Online,No,Loose,No,Not_Operational,Yes,Windows,Correct,No,Yes,No,Less_than_2Mb,Too_Short,Intact__not_Corrupt_,Adequate,Yes,No_Output,Fast_Enough,Fast_Enough,OK,Correct,Correct,Yes,Yes,Correct,No____TIF___WMF___BMP_,No,No,Yes,No,No,Verified,Yes,No,No,Yes,No,Yes,No,Too_Long,No__Different_Each_Time_,Inadequate____1_Mb_,No_Error,x_1_Mb_Available_VM,No,Yes,No,Grayed_Out,No,Yes,Short,Slow,OK,Jam__Out__Bin_Full,No_Error,No_Error,OFFLINE__OFF
Correct,Correct,Incorrect_Corrupt,Greater_than_2_Mb,Disabled,No,No_Paper,Yes__Network_printer_,No,Corrupt_Buggy,No,Yes,Incorrect,Reinstalled,Yes,No,Yes,Incorrect,Incorrect,Online,Yes,Loose,No,Operational,Yes,Windows,Correct,Yes,No,No,Greater_than_2_Mb,Long_Enough,Full_or_Corrupt,Low,No,No_Output,Too_Long,Fast_Enough,OK,Incorrect,Incorrect,No,No,Incorrect,Yes____EPS_,No,Yes,Yes,No,Yes,Faulty,No,Yes,Yes,Yes,No,Yes,Yes,Too_Long,Yes__Always_the_Same_,Inadequate____1_Mb_,Low_Memory,x_1_Mb_Available_VM,No,No,No,Grayed_Out,No,Yes,Short,OK,OK,Jam__Out__Bin_Full,No_Error,No_Error,OFFLINE__OFF
Incorrect_Corrupt,Correct,Incorrect_Corrupt,Greater_than_2_Mb,Disabled,No,No_Paper,Yes__Network_printer_,No,Corrupt_Buggy,Yes,Yes,Incorrect,Reinstalled,Yes,Yes,Yes,Correct,Correct,Offline,Yes,Connected,Yes,Not_Operational,Yes,DOS,Correct,Yes,Yes,No,Greater_than_2_Mb,Long_Enough,Full_or_Corrupt,Adequate,No,Normal_Output,Too_Long,Too_Long,OK,Incorrect,Correct,No,No,Incorrect,No____TIF___WMF___BMP_,No,Yes,Yes,No,Yes,Faulty,Yes,No,Yes,No,Yes,Yes,Yes,Too_Long,No__Different_Each_Time_,Adequate____1Mb_,Low_Memory,x_1_Mb_Available_VM2,No,Yes,No,Grayed_Out,Yes,No,Long,OK,OK,Jam__Out__Bin_Full,No_Error,No_Error,OFFLINE__OFF
